onset	duration	trial_type	response_time	accuracy	stimtype	nback
248.0174720287323	1.0	scenes_1back	0.6085948944091797	1	scenes	1
250.01830101013184	1.0	scenes_1back	0.7099928855895996	1	scenes	1
252.01905989646912	1.0	scenes_1back	0.56119704246521	1	scenes	1
254.01996994018555	1.0	scenes_1back	0.49831509590148926	1	scenes	1
256.0206940174103	1.0	scenes_1back	0.4536290168762207	1	scenes	1
258.02160000801086	1.0	scenes_1back	0.8707640171051025	1	scenes	1
260.0224118232727	1.0	scenes_1back	0.7200171947479248	1	scenes	1
264.0240089893341	1.0	faces_1back	0.834540843963623	1	faces	1
266.0248808860779	1.0	faces_1back	0.6206700801849365	1	faces	1
268.0256898403168	1.0	faces_1back	0.5549931526184082	1	faces	1
270.02653193473816	1.0	faces_1back	0.530163049697876	1	faces	1
272.01063084602356	1.0	faces_1back	0.6721529960632324	1	faces	1
274.01148295402527	1.0	faces_1back	0.6714539527893066	0	faces	1
276.0123059749603	1.0	faces_1back	0.646589994430542	1	faces	1
278.0131368637085	1.0	faces_1back	0.5256881713867188	1	faces	1
280.01394391059875	1.0	faces_1back	0.7810759544372559	1	faces	1
282.0147819519043	1.0	faces_1back	0.5142679214477539	1	faces	1
306.02464604377747	1.0	characters_2back	0.488116979598999	1	chinese_characters	2
308.0254418849945	1.0	characters_2back	0.7233560085296631	0	chinese_characters	2
310.02621603012085	1.0	characters_2back	0.6867790222167969	1	chinese_characters	2
312.0271019935608	1.0	characters_2back	n/a	0	chinese_characters	2
314.01125288009644	1.0	characters_2back	0.8647279739379883	1	chinese_characters	2
316.0120370388031	1.0	characters_2back	0.7519729137420654	0	chinese_characters	2
318.01291489601135	1.0	characters_2back	0.7871930599212646	1	chinese_characters	2
320.0137629508972	1.0	characters_2back	0.6164300441741943	1	chinese_characters	2
322.0145299434662	1.0	characters_2back	0.8536489009857178	1	chinese_characters	2
324.01539182662964	1.0	characters_2back	0.7210772037506104	0	chinese_characters	2
328.017009973526	1.0	faces_2back	0.4932410717010498	1	faces	2
330.017865896225	1.0	faces_2back	0.7605569362640381	1	faces	2
332.0186629295349	1.0	faces_2back	0.7228329181671143	1	faces	2
334.0194458961487	1.0	faces_2back	0.7601680755615234	1	faces	2
336.0203368663788	1.0	faces_2back	0.6803450584411621	0	faces	2
338.0211009979248	1.0	faces_2back	0.9515318870544434	1	faces	2
340.0218930244446	1.0	faces_2back	0.9210000038146973	1	faces	2
342.02275800704956	1.0	faces_2back	n/a	0	faces	2
344.02357602119446	1.0	faces_2back	0.8940658569335938	1	faces	2
346.02444291114807	1.0	faces_2back	0.5815119743347168	1	faces	2
350.0260899066925	1.0	characters_1back	0.6198821067810059	1	chinese_characters	1
352.0269138813019	1.0	characters_1back	0.5421180725097656	1	chinese_characters	1
354.0277419090271	1.0	characters_1back	0.6594090461730957	1	chinese_characters	1
356.0118570327759	1.0	characters_1back	0.5672860145568848	1	chinese_characters	1
358.01274704933167	1.0	characters_1back	0.5924689769744873	1	chinese_characters	1
360.01351594924927	1.0	characters_1back	0.8656949996948242	1	chinese_characters	1
362.01435685157776	1.0	characters_1back	0.6720821857452393	1	chinese_characters	1
