onset	duration	trial_type	response_time	accuracy	motion_coherence	SSD	stop_success
137.0139999999992	0.6369999999988067	go	0.635	1	0.0	n/a	n/a
145.512999999999	0.5380000000004657	go	0.535	1	0.1	n/a	n/a
149.762999999999	0.43800000000192085	go	0.435	1	-0.3	n/a	n/a
153.762999999999	0.5709999999999127	go	0.569	1	-0.3	n/a	n/a
157.012999999999	0.4540000000015425	go	0.452	1	0.1	n/a	n/a
160.262999999999	0.45799999999871943	go	0.454	1	-0.1	n/a	n/a
170.262999999999	0.5370000000002619	go	0.535	0	0.0	n/a	n/a
175.262999999999	0.47000000000116415	go	0.468	1	0.7	n/a	n/a
179.2619999999988	0.6039999999993597	stop	0.602	0	0.0	0.325	0
182.5119999999988	0.8209999999999127	go	0.819	1	-0.3	n/a	n/a
186.2619999999988	0.5580000000009022	go	0.554	1	0.7	n/a	n/a
189.5119999999988	0.7040000000015425	go	0.702	1	-0.7	n/a	n/a
193.7619999999988	0.6540000000022701	go	0.652	1	-0.1	n/a	n/a
198.5119999999988	0.5200000000004366	go	0.519	1	0.3	n/a	n/a
208.0119999999988	0.5040000000008149	stop	0.502	1	0.7	0.25	0
211.7619999999988	1.7530000000006112	stop	n/a	n/a	-0.7	0.225	1
218.2619999999988	0.4370000000017171	go	0.435	1	0.3	n/a	n/a
223.5109999999986	1.754000000000815	stop	n/a	n/a	-0.3	0.25	1
228.7609999999986	0.6540000000022701	go	0.652	1	0.1	n/a	n/a
232.7609999999986	1.754000000000815	stop	n/a	n/a	0.1	0.35	1
237.0109999999986	0.6059999999997672	stop	0.603	1	-0.1	0.375	0
241.5109999999986	0.9540000000015425	go	0.952	1	0.0	n/a	n/a
249.5109999999986	0.5879999999997381	go	0.586	1	0.7	n/a	n/a
254.0109999999986	0.5370000000002619	go	0.535	1	-0.7	n/a	n/a
257.0109999999986	1.0200000000004366	go	1.018	1	0.0	n/a	n/a
263.7599999999984	0.5370000000002619	stop	0.535	1	0.3	0.275	0
268.0099999999984	0.6370000000024447	go	0.635	1	0.3	n/a	n/a
276.0099999999984	0.6710000000020955	go	0.669	1	-0.1	n/a	n/a
282.5099999999984	0.6200000000026193	go	0.619	1	-0.7	n/a	n/a
286.2599999999984	0.5370000000002619	go	0.535	1	0.7	n/a	n/a
289.5099999999984	0.5370000000002619	go	0.535	1	0.7	n/a	n/a
293.7599999999984	0.5540000000000873	go	0.552	1	-0.7	n/a	n/a
300.0089999999982	0.7710000000006403	go	0.769	1	0.3	n/a	n/a
304.0089999999982	0.7870000000002619	go	0.785	1	0.1	n/a	n/a
308.7589999999982	0.5709999999999127	go	0.569	1	0.0	n/a	n/a
316.5089999999982	1.7530000000006112	stop	n/a	n/a	0.7	0.25	1
321.0089999999982	0.5910000000003492	go	0.588	1	-0.3	n/a	n/a
326.5089999999982	1.7530000000006112	stop	n/a	n/a	0.1	0.35	1
330.7589999999982	1.757000000001426	stop	n/a	n/a	0.3	0.25	1
336.757999999998	0.5370000000002619	go	0.535	1	0.0	n/a	n/a
340.007999999998	0.5709999999999127	go	0.569	0	-0.1	n/a	n/a
343.757999999998	0.5870000000031723	go	0.585	1	0.7	n/a	n/a
350.257999999998	0.5580000000009022	go	0.555	1	-0.3	n/a	n/a
353.757999999998	0.5870000000031723	go	0.585	1	0.1	n/a	n/a
362.757999999998	1.754000000000815	stop	n/a	n/a	-0.3	0.275	1
368.757999999998	0.5870000000031723	go	0.585	1	-0.1	n/a	n/a
374.257999999998	0.5529999999998836	go	0.552	1	-0.7	n/a	n/a
379.2569999999978	0.6380000000026484	go	0.635	1	0.1	n/a	n/a
385.7569999999978	1.754000000000815	stop	n/a	n/a	0.0	0.3	1
389.5069999999978	0.5709999999999127	go	0.569	1	-0.3	n/a	n/a
394.5069999999978	0.8040000000000873	go	0.802	0	0.0	n/a	n/a
399.7569999999978	0.6200000000026193	go	0.619	1	0.3	n/a	n/a
404.7569999999978	0.4540000000015425	stop	0.452	1	-0.7	0.275	0
408.7569999999978	1.7530000000006112	stop	n/a	n/a	-0.1	0.375	1
413.7569999999978	0.7040000000015425	go	0.702	1	0.3	n/a	n/a
418.0069999999978	0.5700000000033469	go	0.569	1	-0.7	n/a	n/a
425.5069999999978	0.6200000000026193	go	0.618	1	-0.1	n/a	n/a
