onset	duration	is_target	trial_type
 305.000000 	0.5	0	blank
 305.500000 	0.5	0	blank
 306.000000 	0.5	0	blank
 306.500000 	0.5	0	blank
 307.000000 	0.5	0	blank
 307.500000 	0.5	0	blank
 308.000000 	0.5	0	blank
 308.500000 	0.5	0	blank
 309.000000 	0.5	0	blank
 309.500000 	0.5	0	blank
 310.000000 	0.5	0	blank
 310.500000 	0.5	0	blank
 311.000000 	0.5	0	blank
 311.500000 	0.5	0	blank
